rank,mod_type,fll_bw,costas_bw,sym_bw,preamble_size,avg_ber,min_ber,avg_pdr,max_noise_tolerance,composite_score,tested_scenarios
131,QPSK,0.0628,0.05,0.067,32,0.0,0.0,80.0,0.0,1798.4,1
132,QPSK,0.02,0.03,0.101,32,0.0,0.0,80.0,0.0,1798.4,1
133,QPSK,0.05,0.12,0.133,32,0.0,0.0,80.0,0.0,1798.4,1
134,QPSK,0.0314,0.06,0.073,32,0.0,0.0,80.0,0.0,1798.4,1
135,QPSK,0.05,0.095,0.027,32,0.0,0.0,80.0,0.0,1798.4,1
136,QPSK,0.02,0.09,0.037,32,0.0,0.0,80.0,0.0,1798.4,1
137,QPSK,0.05,0.095,0.047,32,0.0,0.0,80.0,0.0,1798.4,1
138,QPSK,0.02,0.02,0.005,32,0.0,0.0,80.0,0.0,1798.4,1
139,QPSK,0.0314,0.105,0.101,32,0.0,0.0,80.0,0.0,1798.4,1
140,QPSK,0.02,0.06,0.121,32,0.0,0.0,80.0,0.0,1798.4,1
141,QPSK,0.0628,0.055,0.077,32,0.0,0.0,80.0,0.0,1798.4,1
142,QPSK,0.0628,0.08,0.043,32,0.0,0.0,80.0,0.0,1798.4,1
143,BPSK,0.05,0.08,0.017,32,0.0,0.0,80.0,0.0,1798.4,1
144,QPSK,0.02,0.025,0.029,32,0.0,0.0,80.0,0.0,1798.4,1
145,QPSK,0.05,0.115,0.095,32,0.0,0.0,80.0,0.0,1798.4,1
146,QPSK,0.02,0.08,0.041,32,0.0,0.0,80.0,0.0,1798.4,1
147,QPSK,0.02,0.09,0.107,32,0.0,0.0,80.0,0.0,1798.4,1
148,QPSK,0.02,0.02,0.037,32,0.0,0.0,80.0,0.0,1798.4,1
149,QPSK,0.0314,0.055,0.087,32,0.0,0.0,80.0,0.0,1798.4,1
150,QPSK,0.0628,0.08,0.091,32,0.0,0.0,80.0,0.0,1798.4,1
151,BPSK,0.0314,0.085,0.051,32,0.0,0.0,80.0,0.0,1798.4,1
152,BPSK,0.02,0.045,0.009,32,0.0,0.0,80.0,0.0,1798.4,1
153,QPSK,0.05,0.05,0.125,32,0.0,0.0,80.0,0.0,1798.4,1
154,QPSK,0.0628,0.045,0.075,32,0.0,0.0,80.0,0.0,1798.4,1
155,QPSK,0.05,0.065,0.025,32,0.0,0.0,80.0,0.0,1798.4,1
156,QPSK,0.02,0.095,0.033,32,0.0,0.0,80.0,0.0,1798.4,1
157,QPSK,0.05,0.08,0.103,32,0.0,0.0,80.0,0.0,1798.4,1
158,QPSK,0.02,0.045,0.121,32,0.0,0.0,80.0,0.0,1798.4,1
159,QPSK,0.0314,0.06,0.035,32,0.0,0.0,80.0,0.0,1798.4,1
160,QPSK,0.02,0.04,0.047,32,0.0,0.0,80.0,0.0,1798.4,1
161,BPSK,0.02,0.08,0.045,32,0.0,0.0,80.0,0.0,1798.4,1
162,QPSK,0.0314,0.085,0.101,32,0.0,0.0,80.0,0.0,1798.4,1
163,QPSK,0.05,0.11,0.025,32,0.0,0.0,80.0,0.0,1798.4,1
164,QPSK,0.0628,0.08,0.057,32,0.0,0.0,80.0,0.0,1798.4,1
165,QPSK,0.02,0.06,0.109,32,0.0,0.0,80.0,0.0,1798.4,1
166,QPSK,0.02,0.105,0.067,32,0.0,0.0,80.0,0.0,1798.4,1
167,QPSK,0.0628,0.1,0.071,32,0.0,0.0,80.0,0.0,1798.4,1
168,QPSK,0.05,0.065,0.139,32,0.0,0.0,80.0,0.0,1798.4,1
169,QPSK,0.02,0.11,0.005,32,0.0,0.0,80.0,0.0,1798.4,1
170,QPSK,0.0628,0.12,0.037,32,0.0,0.0,80.0,0.0,1798.4,1
171,QPSK,0.05,0.1,0.085,32,0.0,0.0,80.0,0.0,1798.4,1
172,BPSK,0.05,0.085,0.061,32,0.0,0.0,80.0,0.0,1798.4,1
173,BPSK,0.05,0.095,0.029,32,0.0,0.0,80.0,0.0,1798.4,1
174,BPSK,0.0628,0.02,0.011,32,0.0,0.0,80.0,0.0,1798.4,1
175,BPSK,0.0628,0.045,0.047,32,0.0,0.0,80.0,0.0,1798.4,1
176,QPSK,0.05,0.055,0.095,32,0.0,0.0,80.0,0.0,1798.4,1
177,BPSK,0.05,0.065,0.017,32,0.0,0.0,80.0,0.0,1798.4,1
178,BPSK,0.05,0.075,0.013,32,0.0,0.0,80.0,0.0,1798.4,1
179,QPSK,0.02,0.035,0.131,32,0.0,0.0,80.0,0.0,1798.4,1
180,QPSK,0.02,0.075,0.041,32,0.0,0.0,80.0,0.0,1798.4,1
