Modulation,FLL_BW,Costas_BW,SymSync_BW,PreambleSize,NoiseVolt,FreqOffset,TimeOffset,PDR,BER,MatchedPkts,TotalPkts,ElapsedSec
BPSK,0.0314,0.0628,0.045,64,0.0,0.005,1.0,70.0,0.15,7,10,0.06530904769897461
BPSK,0.0314,0.3697,0.4479,32,0.15,0.0,1.0,0.0,0.025,0,10,0.07017278671264648
QPSK,0.0314,0.0628,0.08,16,0.05,0.005,0.9998,90.0,0.0025000000000000005,9,10,0.054729461669921875
QPSK,0.0314,0.005,0.4739,32,0.15,0.0,1.0,0.0,0.025,0,10,0.07635164260864258
QPSK,0.0314,0.0628,0.045,32,0.05,0.005,1.0,90.0,0.0025000000000000005,9,10,0.059020042419433594
BPSK,0.0314,0.0628,0.045,32,0.2,0.005,1.0,90.0,0.0025000000000000005,9,10,0.07042407989501953
QPSK,0.0314,0.4739,0.005,32,0.15,0.0,1.0,60.0,0.010000000000000002,6,10,0.05578160285949707
BPSK,0.0314,0.3958,0.4739,32,0.0,0.0,1.0,0.0,0.5,0,10,0.0607905387878418
QPSK,0.0314,0.0628,0.045,24,0.1,0.005,1.0002,90.0,0.0025000000000000005,9,10,0.08192729949951172
BPSK,0.0314,0.4479,0.2916,32,0.15,0.0,1.0,0.0,0.025,0,10,0.053093910217285156
QPSK,0.0314,0.0628,0.045,48,0.35,0.005,0.9998,90.0,0.0025000000000000005,9,10,0.06979489326477051
QPSK,0.0314,0.3437,0.1613,32,0.0,0.0,1.0,90.0,0.0,9,10,0.05787777900695801
BPSK,0.0314,0.0628,0.08,64,0.0,0.005,0.9998,50.0,0.25,5,10,0.07481789588928223
QPSK,0.0314,0.2134,0.1613,32,0.0,0.0,1.0,90.0,0.0,9,10,0.05271434783935547
QPSK,0.0314,0.0628,0.045,64,0.35,0.005,1.0005,90.0,0.0025000000000000005,9,10,0.07085108757019043
BPSK,0.0314,0.3958,0.3437,32,0.15,0.0,1.0,0.0,0.025,0,10,0.08651971817016602
BPSK,0.0314,0.0628,0.045,24,0.2,0.005,0.9998,90.0,0.0025000000000000005,9,10,0.10520339012145996
BPSK,0.0314,0.2655,0.0311,32,0.15,0.0,1.0,90.0,0.0025000000000000005,9,10,0.057119131088256836
BPSK,0.0314,0.2655,0.5,32,0.15,0.0,1.0,0.0,0.025,0,10,0.08498764038085938
QPSK,0.05,0.0628,0.045,32,0.02,-0.015,1.0,90.0,0.0025000000000000005,9,10,0.05375790596008301
QPSK,0.0314,0.1874,0.2134,32,0.0,0.0,1.0,90.0,0.0,9,10,0.06798720359802246
QPSK,0.0314,0.3176,0.1092,32,0.15,0.0,1.0,90.0,0.0025000000000000005,9,10,0.07286620140075684
BPSK,0.0314,0.1613,0.1353,32,0.15,0.0,1.0,60.0,0.010000000000000002,6,10,0.06677722930908203
