Modulation,FLL_BW,Costas_BW,SymSync_BW,PreambleSize,NoiseVolt,FreqOffset,TimeOffset,PDR,BER,MatchedPkts,TotalPkts,ElapsedSec
BPSK,0.01,0.03,0.045,48,0.45,0.0,0.9998,90.0,0.005000000000000001,9,10,0.04511523246765137
BPSK,0.01,0.03,0.045,48,0.45,0.0,1.0002,90.0,0.005000000000000001,9,10,0.04813885688781738
BPSK,0.01,0.03,0.045,48,0.45,0.015,0.9998,80.0,0.010000000000000002,8,10,0.05515599250793457
BPSK,0.01,0.03,0.045,48,0.45,0.015,1.0002,80.0,0.010000000000000002,8,10,0.05058646202087402
BPSK,0.01,0.03,0.08,16,0.0,-0.015,0.9998,80.0,0.1,8,10,0.04063606262207031
BPSK,0.01,0.03,0.08,16,0.0,-0.015,1.0002,80.0,0.1,8,10,0.053473472595214844
BPSK,0.01,0.03,0.08,16,0.0,0.0,0.9998,90.0,0.0,9,10,0.04338693618774414
BPSK,0.01,0.03,0.08,16,0.0,0.0,1.0002,90.0,0.0,9,10,0.04506850242614746
BPSK,0.01,0.03,0.08,16,0.0,0.015,0.9998,80.0,0.1,8,10,0.05021405220031738
BPSK,0.01,0.03,0.08,16,0.0,0.015,1.0002,80.0,0.1,8,10,0.06668996810913086
BPSK,0.01,0.03,0.08,16,0.2,-0.015,0.9998,80.0,0.010000000000000002,8,10,0.05754828453063965
BPSK,0.01,0.03,0.08,16,0.2,-0.015,1.0002,80.0,0.010000000000000002,8,10,0.05364704132080078
BPSK,0.01,0.03,0.08,16,0.2,0.0,0.9998,90.0,0.005000000000000001,9,10,0.04216361045837402
BPSK,0.01,0.03,0.08,16,0.2,0.0,1.0002,80.0,0.010000000000000002,8,10,0.05877995491027832
BPSK,0.01,0.03,0.08,16,0.2,0.015,0.9998,80.0,0.010000000000000002,8,10,0.043827056884765625
BPSK,0.01,0.03,0.08,16,0.2,0.015,1.0002,80.0,0.010000000000000002,8,10,0.04133343696594238
BPSK,0.01,0.03,0.08,16,0.45,-0.015,0.9998,80.0,0.010000000000000002,8,10,0.05509376525878906
BPSK,0.01,0.03,0.08,16,0.45,-0.015,1.0002,70.0,0.015,7,10,0.04510140419006348
BPSK,0.01,0.03,0.08,16,0.45,0.0,0.9998,80.0,0.010000000000000002,8,10,0.0489497184753418
BPSK,0.01,0.03,0.08,16,0.45,0.0,1.0002,60.0,0.020000000000000004,6,10,0.055548906326293945
BPSK,0.01,0.03,0.08,16,0.45,0.015,0.9998,60.0,0.020000000000000004,6,10,0.03836321830749512
BPSK,0.01,0.03,0.08,16,0.45,0.015,1.0002,70.0,0.015,7,10,0.04695558547973633
BPSK,0.01,0.03,0.08,32,0.0,-0.015,0.9998,80.0,0.1,8,10,0.04617452621459961
BPSK,0.01,0.03,0.08,32,0.0,-0.015,1.0002,80.0,0.1,8,10,0.04480862617492676
BPSK,0.01,0.03,0.08,32,0.0,0.0,0.9998,90.0,0.0,9,10,0.04416799545288086
BPSK,0.01,0.03,0.08,32,0.0,0.0,1.0002,90.0,0.0,9,10,0.046938180923461914
BPSK,0.01,0.03,0.08,32,0.0,0.015,0.9998,80.0,0.1,8,10,0.04375863075256348
BPSK,0.01,0.03,0.08,32,0.0,0.015,1.0002,80.0,0.1,8,10,0.04861140251159668
BPSK,0.01,0.03,0.08,32,0.2,-0.015,0.9998,70.0,0.015,7,10,0.04075336456298828
BPSK,0.01,0.03,0.08,32,0.2,-0.015,1.0002,80.0,0.010000000000000002,8,10,0.04947924613952637
BPSK,0.01,0.03,0.08,32,0.2,0.0,0.9998,90.0,0.005000000000000001,9,10,0.05525684356689453
BPSK,0.01,0.03,0.08,32,0.2,0.0,1.0002,90.0,0.005000000000000001,9,10,0.050595998764038086
BPSK,0.01,0.03,0.08,32,0.2,0.015,0.9998,80.0,0.010000000000000002,8,10,0.0411534309387207
BPSK,0.01,0.03,0.08,32,0.2,0.015,1.0002,80.0,0.010000000000000002,8,10,0.05236172676086426
BPSK,0.01,0.03,0.08,32,0.45,-0.015,0.9998,80.0,0.010000000000000002,8,10,0.045168161392211914
BPSK,0.01,0.03,0.08,32,0.45,-0.015,1.0002,80.0,0.010000000000000002,8,10,0.04591679573059082
BPSK,0.01,0.03,0.08,32,0.45,0.0,0.9998,80.0,0.010000000000000002,8,10,0.04588580131530762
BPSK,0.01,0.03,0.08,32,0.45,0.0,1.0002,80.0,0.010000000000000002,8,10,0.05337691307067871
BPSK,0.01,0.03,0.08,32,0.45,0.015,0.9998,70.0,0.015,7,10,0.04749941825866699
BPSK,0.01,0.03,0.08,32,0.45,0.015,1.0002,80.0,0.010000000000000002,8,10,0.051326751708984375
BPSK,0.01,0.03,0.08,48,0.0,-0.015,0.9998,80.0,0.1,8,10,0.03964638710021973
BPSK,0.01,0.03,0.08,48,0.0,-0.015,1.0002,80.0,0.1,8,10,0.044496774673461914
BPSK,0.01,0.03,0.08,48,0.0,0.0,0.9998,90.0,0.0,9,10,0.05173325538635254
BPSK,0.01,0.03,0.08,48,0.0,0.0,1.0002,90.0,0.0,9,10,0.055216073989868164
BPSK,0.01,0.03,0.08,48,0.0,0.015,0.9998,80.0,0.1,8,10,0.050256967544555664
BPSK,0.01,0.03,0.08,48,0.0,0.015,1.0002,80.0,0.1,8,10,0.06641173362731934
BPSK,0.01,0.03,0.08,48,0.2,-0.015,0.9998,80.0,0.010000000000000002,8,10,0.07561612129211426
