Modulation,FLL_BW,Costas_BW,SymSync_BW,PreambleSize,NoiseVolt,FreqOffset,TimeOffset,Platform,PDR,BER,MatchedPkts,TotalPkts,ElapsedSec
QPSK,0.0314,0.0628,0.01,48,0.05,0.005,1.0,software,90.0,0.0025000000000000005,9,10,0.060790061950683594
QPSK,0.0314,0.0628,0.115,48,0.12,0.005,1.0008,software,90.0,0.0025000000000000005,9,10,0.06210970878601074
QPSK,0.0314,0.0628,1.0,48,0.02,0.005,1.0,software,0.0,0.025,0,10,0.06049966812133789
BPSK,0.0314,0.135,0.01,32,0.0,0.0,1.0,software,90.0,0.0,9,10,0.0615384578704834
BPSK,1.0,0.03,0.025,32,0.02,0.02,1.0,software,0.0,0.025,0,10,0.0458071231842041
BPSK,0.0314,0.0628,0.01,32,0.18,0.005,0.9992,hardware,50.0,0.0125,5,10,0.04953265190124512
BPSK,0.0314,0.0628,0.025,32,0.02,0.01,1.0,hardware,90.0,0.0025000000000000005,9,10,0.05630326271057129
BPSK,0.0314,0.0628,0.025,64,0.05,0.005,0.9992,software,70.0,0.0075,7,10,0.05925703048706055
QPSK,0.0314,0.0628,0.115,64,0.02,0.005,1.0004,software,90.0,0.0025000000000000005,9,10,0.048758506774902344
QPSK,0.0314,0.0628,0.5,64,0.05,0.005,1.0001,software,0.0,0.025,0,10,0.06762409210205078
BPSK,0.0314,0.0628,0.25,24,0.08,0.005,0.9996,software,0.0,0.025,0,10,0.056946516036987305
QPSK,0.0314,0.0628,1.0,48,0.12,0.005,0.9996,hardware,0.0,0.025,0,10,0.04443001747131348
BPSK,0.0314,0.0628,0.5,16,0.02,0.005,0.9992,hardware,0.0,0.025,0,10,0.05468273162841797
QPSK,0.19,0.03,0.025,32,0.02,-0.01,1.0,hardware,0.0,0.025,0,10,0.06126046180725098
QPSK,0.0314,0.0628,0.01,24,0.08,0.005,0.9992,software,50.0,0.0125,5,10,0.061598777770996094
BPSK,0.0314,0.0628,0.055,16,0.35,0.005,1.0,software,90.0,0.0025000000000000005,9,10,0.05832409858703613
QPSK,0.19,0.1,0.025,32,0.02,-0.03,1.0,software,20.0,0.020000000000000004,2,10,0.062277793884277344
BPSK,0.055,0.03,0.025,32,0.02,-0.03,1.0,software,90.0,0.0025000000000000005,9,10,0.05193471908569336
QPSK,0.19,0.03,0.025,32,0.02,-0.02,1.0,software,0.0,0.025,0,10,0.050209999084472656
BPSK,0.0314,0.0628,0.5,48,0.0,0.005,1.0,hardware,0.0,0.5,0,10,0.05481839179992676
QPSK,0.0314,0.01,0.18,32,0.0,0.0,1.0,software,10.0,0.45,1,10,0.057738542556762695
BPSK,0.0314,0.075,0.23,32,0.15,0.0,1.0,software,50.0,0.0125,5,10,0.0571141242980957
BPSK,0.0314,0.0628,0.01,32,0.0,0.005,1.0,software,90.0,0.0,9,10,0.05835604667663574
BPSK,0.0314,0.018,0.07,32,0.15,0.0,1.0,software,90.0,0.0025000000000000005,9,10,0.06064915657043457
BPSK,0.0314,0.0628,0.055,32,0.5,0.005,0.9999,software,90.0,0.0025000000000000005,9,10,0.0951077938079834
BPSK,0.01,0.1,0.025,32,0.02,-0.02,1.0,software,90.0,0.0025000000000000005,9,10,0.05807948112487793
BPSK,0.0314,0.0628,0.5,64,0.5,0.005,0.9999,software,0.0,0.025,0,10,0.0653374195098877
BPSK,0.0314,0.0628,0.055,32,0.25,0.005,0.9992,software,90.0,0.0025000000000000005,9,10,0.0766596794128418
BPSK,0.0314,0.0628,0.25,16,0.12,0.005,0.9996,software,10.0,0.022500000000000003,1,10,0.05579209327697754
BPSK,0.0314,0.0628,0.25,48,0.12,0.005,0.9999,software,50.0,0.0125,5,10,0.06152915954589844
BPSK,0.018,0.03,0.025,32,0.02,0.0,1.0,hardware,90.0,0.0025000000000000005,9,10,0.05732870101928711
